id;Age;Employment Type;GraduateOrNot;AnnualIncome;FamilyMembers;ChronicDiseases;FrequentFlyer;EverTravelledAbroad;TravelInsurance
1;31;Government Sector;Yes;400000;6;1;No;No;0
2;31;Private Sector/Self Employed;Yes;1250000;7;0;No;No;0
3;34;Private Sector/Self Employed;Yes;500000;4;1;No;No;1
4;28;Private Sector/Self Employed;Yes;700000;3;1;No;No;0
5;28;Private Sector/Self Employed;Yes;700000;8;1;Yes;No;0
6;25;Private Sector/Self Employed;No;1150000;4;0;No;No;0
7;31;Government Sector;Yes;1300000;4;0;No;No;0
8;31;Private Sector/Self Employed;Yes;1350000;3;0;Yes;Yes;1
9;28;Private Sector/Self Employed;Yes;1450000;6;1;Yes;Yes;1
10;33;Government Sector;Yes;800000;3;0;Yes;No;0
11;31;Government Sector;Yes;400000;9;1;No;No;0
12;26;Private Sector/Self Employed;Yes;1400000;5;0;Yes;Yes;1
13;32;Government Sector;Yes;850000;6;0;No;No;1
14;31;Government Sector;Yes;1500000;6;0;Yes;Yes;1
15;31;Government Sector;Yes;400000;3;0;No;No;0
16;34;Private Sector/Self Employed;Yes;700000;7;0;No;No;0
17;28;Private Sector/Self Employed;Yes;1150000;4;1;No;No;0
18;28;Private Sector/Self Employed;Yes;800000;7;0;No;No;1
19;29;Private Sector/Self Employed;Yes;1050000;5;1;No;No;1
20;34;Private Sector/Self Employed;Yes;1500000;2;0;Yes;Yes;1
21;28;Private Sector/Self Employed;Yes;1150000;6;0;Yes;No;0
22;29;Private Sector/Self Employed;Yes;350000;3;0;No;No;1
23;31;Private Sector/Self Employed;Yes;1100000;4;0;No;No;0
24;28;Government Sector;Yes;600000;9;0;No;No;1
25;31;Government Sector;Yes;1500000;7;0;Yes;Yes;0
26;35;Private Sector/Self Employed;No;800000;4;0;No;Yes;0
27;34;Private Sector/Self Employed;No;1300000;6;0;Yes;No;1
28;28;Private Sector/Self Employed;Yes;1250000;2;0;Yes;No;0
29;26;Private Sector/Self Employed;Yes;600000;4;0;Yes;No;0
30;31;Private Sector/Self Employed;Yes;900000;3;0;No;No;0
31;30;Private Sector/Self Employed;No;550000;6;0;Yes;Yes;0
32;31;Government Sector;No;300000;4;0;No;No;0
33;25;Government Sector;Yes;750000;4;0;No;No;1
34;32;Government Sector;Yes;850000;3;0;No;No;0
35;28;Private Sector/Self Employed;Yes;800000;9;0;No;No;1
36;33;Private Sector/Self Employed;Yes;1400000;4;0;Yes;Yes;0
37;31;Government Sector;No;300000;9;1;No;No;0
38;34;Private Sector/Self Employed;Yes;700000;4;0;No;No;0
39;34;Government Sector;Yes;1100000;2;0;No;No;0
40;33;Private Sector/Self Employed;Yes;1500000;5;1;Yes;Yes;1
41;25;Private Sector/Self Employed;Yes;1400000;3;1;Yes;Yes;1
42;33;Private Sector/Self Employed;Yes;550000;5;0;No;No;0
43;26;Private Sector/Self Employed;Yes;1500000;2;1;Yes;Yes;1
44;28;Private Sector/Self Employed;Yes;1200000;4;0;Yes;No;1
45;25;Private Sector/Self Employed;Yes;1400000;7;0;No;Yes;1
46;34;Private Sector/Self Employed;No;1400000;5;1;No;Yes;1
47;25;Private Sector/Self Employed;Yes;1400000;4;0;No;Yes;1
48;35;Government Sector;Yes;1100000;5;0;No;No;0
49;28;Private Sector/Self Employed;Yes;600000;3;0;No;No;0
50;31;Private Sector/Self Employed;Yes;1350000;3;0;No;Yes;1
51;31;Private Sector/Self Employed;Yes;1250000;3;1;No;No;0
52;29;Private Sector/Self Employed;Yes;1050000;3;0;No;No;0
53;31;Private Sector/Self Employed;Yes;1250000;4;0;No;Yes;0
54;28;Government Sector;Yes;300000;2;0;No;No;0
55;29;Private Sector/Self Employed;Yes;1200000;7;0;No;No;0
56;26;Private Sector/Self Employed;Yes;750000;5;0;No;No;0
57;28;Private Sector/Self Employed;Yes;550000;3;0;No;No;1
58;34;Private Sector/Self Employed;Yes;1000000;6;0;No;No;1
59;33;Private Sector/Self Employed;Yes;1400000;6;0;Yes;Yes;1
60;33;Private Sector/Self Employed;Yes;1400000;9;0;Yes;Yes;1
61;31;Private Sector/Self Employed;Yes;1250000;4;0;Yes;Yes;0
62;32;Government Sector;Yes;800000;3;0;Yes;No;1
63;28;Private Sector/Self Employed;Yes;800000;4;0;Yes;No;0
64;27;Government Sector;Yes;500000;2;0;No;No;0
65;30;Private Sector/Self Employed;No;1450000;9;0;Yes;Yes;1
66;26;Private Sector/Self Employed;Yes;600000;5;1;No;No;0
67;30;Private Sector/Self Employed;No;800000;6;0;Yes;No;0
68;34;Private Sector/Self Employed;Yes;1500000;3;0;Yes;Yes;1
69;29;Private Sector/Self Employed;Yes;350000;4;0;No;No;0
70;31;Government Sector;No;300000;4;0;No;No;0
71;34;Government Sector;Yes;1300000;4;0;No;No;0
72;28;Private Sector/Self Employed;Yes;750000;6;0;Yes;No;0
73;28;Private Sector/Self Employed;Yes;800000;6;1;Yes;No;0
74;28;Private Sector/Self Employed;Yes;750000;7;0;Yes;No;0
75;28;Private Sector/Self Employed;Yes;700000;4;1;No;No;0
76;34;Private Sector/Self Employed;Yes;1300000;5;0;No;No;0
77;29;Private Sector/Self Employed;Yes;1200000;3;0;No;No;1
78;31;Government Sector;No;400000;4;0;No;No;0
79;31;Government Sector;Yes;1300000;3;0;No;Yes;1
80;31;Government Sector;No;400000;5;1;No;No;0
81;26;Private Sector/Self Employed;Yes;1300000;4;1;No;No;0
82;25;Private Sector/Self Employed;No;1150000;8;0;No;No;0
83;28;Private Sector/Self Employed;Yes;1250000;4;1;No;No;0
84;34;Private Sector/Self Employed;No;950000;4;0;Yes;No;1
85;32;Government Sector;Yes;350000;6;1;No;No;0
86;25;Private Sector/Self Employed;No;1700000;4;0;Yes;No;1
87;32;Government Sector;Yes;900000;4;0;No;No;0
88;28;Government Sector;Yes;300000;6;0;No;No;0
89;34;Private Sector/Self Employed;Yes;1050000;5;1;No;No;0
90;28;Government Sector;Yes;300000;8;0;No;No;0
91;27;Government Sector;Yes;1050000;3;0;No;No;0
92;28;Government Sector;Yes;300000;4;1;No;No;0
93;28;Private Sector/Self Employed;Yes;1150000;5;0;No;No;0
94;33;Government Sector;Yes;700000;7;0;Yes;No;1
95;34;Private Sector/Self Employed;Yes;1300000;4;0;No;No;0
96;26;Private Sector/Self Employed;Yes;1400000;5;0;No;Yes;1
97;28;Private Sector/Self Employed;Yes;700000;4;0;No;No;0
98;29;Private Sector/Self Employed;Yes;350000;7;0;No;No;0
99;29;Private Sector/Self Employed;Yes;1100000;6;0;No;No;0
100;29;Government Sector;Yes;600000;3;0;No;No;0
101;28;Private Sector/Self Employed;Yes;1300000;6;1;No;No;1
102;33;Private Sector/Self Employed;Yes;1500000;3;1;Yes;Yes;1
103;29;Private Sector/Self Employed;Yes;500000;3;1;No;No;0
104;26;Private Sector/Self Employed;Yes;1400000;5;0;No;Yes;1
105;28;Private Sector/Self Employed;Yes;1150000;3;0;No;No;0
106;28;Private Sector/Self Employed;Yes;750000;3;0;No;No;0
107;34;Private Sector/Self Employed;Yes;1300000;3;0;No;No;0
108;34;Private Sector/Self Employed;Yes;850000;3;1;No;Yes;0
109;26;Private Sector/Self Employed;Yes;1300000;4;0;No;No;1
110;25;Private Sector/Self Employed;Yes;1700000;3;0;Yes;No;1
111;31;Government Sector;Yes;400000;5;0;No;No;0
112;28;Private Sector/Self Employed;Yes;800000;5;0;No;No;0
113;30;Private Sector/Self Employed;No;800000;4;0;No;No;0
114;29;Private Sector/Self Employed;Yes;900000;4;0;Yes;No;0
115;29;Private Sector/Self Employed;Yes;500000;5;0;No;No;0
116;29;Private Sector/Self Employed;Yes;900000;4;0;No;No;0
117;28;Private Sector/Self Employed;Yes;1150000;5;0;No;No;1
118;31;Government Sector;Yes;400000;5;0;No;No;0
119;31;Government Sector;Yes;1500000;4;1;Yes;Yes;1
120;31;Private Sector/Self Employed;Yes;500000;4;0;No;No;0
121;28;Private Sector/Self Employed;Yes;800000;3;1;No;No;0
122;26;Private Sector/Self Employed;Yes;1400000;6;0;No;Yes;1
123;32;Government Sector;Yes;800000;6;1;No;No;0
124;27;Government Sector;Yes;850000;3;0;No;No;0
125;32;Government Sector;Yes;350000;4;1;No;No;0
126;29;Private Sector/Self Employed;Yes;500000;3;1;No;No;1
127;32;Government Sector;Yes;800000;5;0;Yes;No;0
128;27;Government Sector;Yes;750000;5;0;No;No;0
129;31;Private Sector/Self Employed;Yes;1350000;8;0;No;Yes;1
130;29;Private Sector/Self Employed;Yes;1050000;6;0;No;No;0
131;28;Private Sector/Self Employed;Yes;800000;4;0;No;No;0
132;28;Private Sector/Self Employed;Yes;750000;4;0;No;No;0
133;28;Private Sector/Self Employed;Yes;1100000;4;0;No;No;0
134;25;Private Sector/Self Employed;Yes;1750000;4;0;No;Yes;1
135;28;Private Sector/Self Employed;Yes;600000;5;0;Yes;No;0
136;28;Private Sector/Self Employed;Yes;800000;6;0;No;Yes;1
137;29;Private Sector/Self Employed;Yes;500000;6;0;No;No;1
138;29;Private Sector/Self Employed;Yes;600000;4;1;Yes;No;0
139;28;Private Sector/Self Employed;Yes;1150000;4;0;No;No;0
140;35;Private Sector/Self Employed;No;800000;7;1;No;No;1
141;28;Private Sector/Self Employed;Yes;550000;4;1;No;No;0
142;25;Private Sector/Self Employed;Yes;1400000;3;0;No;Yes;0
143;32;Government Sector;Yes;350000;9;1;No;No;0
144;26;Private Sector/Self Employed;Yes;1300000;4;0;No;No;0
145;31;Private Sector/Self Employed;Yes;1250000;4;0;No;No;0
146;28;Private Sector/Self Employed;Yes;1150000;6;0;No;No;0
147;30;Private Sector/Self Employed;No;750000;3;1;No;No;1
148;31;Government Sector;No;400000;4;1;No;No;0
149;25;Private Sector/Self Employed;Yes;1400000;4;0;No;Yes;1
150;28;Private Sector/Self Employed;Yes;800000;5;1;No;No;0
151;28;Private Sector/Self Employed;Yes;650000;2;1;No;No;1
152;29;Private Sector/Self Employed;Yes;1200000;7;0;No;No;1
153;28;Private Sector/Self Employed;Yes;1200000;5;0;Yes;No;0
154;25;Private Sector/Self Employed;No;600000;5;0;Yes;No;0
155;28;Private Sector/Self Employed;Yes;700000;4;0;Yes;No;0
156;34;Private Sector/Self Employed;Yes;1300000;6;0;No;No;1
157;28;Private Sector/Self Employed;Yes;900000;4;0;Yes;No;0
158;28;Private Sector/Self Employed;Yes;600000;3;1;No;No;0
159;31;Private Sector/Self Employed;Yes;1250000;6;0;Yes;No;1
160;27;Government Sector;Yes;900000;7;1;No;No;0
161;31;Government Sector;Yes;1200000;5;1;No;No;1
162;34;Private Sector/Self Employed;No;1400000;3;1;No;Yes;1
163;34;Private Sector/Self Employed;Yes;500000;7;0;No;No;1
164;32;Government Sector;Yes;350000;5;0;No;No;0
165;28;Government Sector;Yes;300000;6;0;No;No;0
166;33;Government Sector;Yes;1000000;4;0;No;No;0
167;28;Private Sector/Self Employed;Yes;800000;7;0;No;No;0
168;31;Government Sector;Yes;400000;3;0;No;No;0
169;27;Government Sector;Yes;850000;7;1;No;No;0
170;25;Private Sector/Self Employed;No;600000;6;0;No;No;0
171;31;Private Sector/Self Employed;Yes;1350000;6;1;No;Yes;1
172;28;Private Sector/Self Employed;Yes;900000;7;0;No;No;0
173;27;Private Sector/Self Employed;No;600000;8;0;No;No;0
174;26;Private Sector/Self Employed;Yes;450000;5;1;No;No;1
175;34;Private Sector/Self Employed;Yes;700000;6;0;Yes;No;1
176;30;Private Sector/Self Employed;No;800000;3;0;No;No;0
177;34;Private Sector/Self Employed;Yes;1050000;6;0;No;No;1
178;28;Private Sector/Self Employed;Yes;1250000;5;0;No;No;0
179;32;Government Sector;Yes;350000;6;0;No;No;0
180;26;Private Sector/Self Employed;Yes;1250000;4;0;No;No;0
181;28;Private Sector/Self Employed;Yes;750000;6;0;Yes;No;0
182;26;Private Sector/Self Employed;Yes;1300000;3;0;No;No;0
183;35;Private Sector/Self Employed;No;800000;3;0;Yes;No;1
184;25;Private Sector/Self Employed;No;1700000;3;1;Yes;No;0
185;25;Government Sector;Yes;750000;3;0;No;No;0
186;28;Government Sector;Yes;300000;4;0;No;No;1
187;28;Private Sector/Self Employed;Yes;500000;9;0;No;No;1
188;28;Private Sector/Self Employed;Yes;650000;9;0;No;No;0
189;26;Government Sector;Yes;500000;4;0;No;No;0
190;26;Private Sector/Self Employed;Yes;1400000;7;1;No;Yes;1
191;27;Government Sector;Yes;900000;5;0;No;No;0
192;30;Private Sector/Self Employed;No;650000;3;0;No;Yes;0
193;28;Private Sector/Self Employed;Yes;800000;4;1;No;Yes;0
194;34;Private Sector/Self Employed;No;1300000;5;1;No;No;0
195;33;Government Sector;Yes;1100000;5;0;No;No;0
196;25;Private Sector/Self Employed;Yes;1400000;5;0;Yes;Yes;1
197;34;Private Sector/Self Employed;Yes;1000000;7;0;No;No;1
198;29;Private Sector/Self Employed;Yes;1150000;5;1;Yes;No;0
199;25;Private Sector/Self Employed;No;1350000;4;0;No;Yes;1
200;30;Private Sector/Self Employed;No;1450000;5;0;Yes;Yes;1
201;27;Government Sector;Yes;1050000;4;0;No;No;1
202;31;Private Sector/Self Employed;Yes;1400000;2;0;No;Yes;1
203;28;Private Sector/Self Employed;Yes;600000;7;0;No;No;1
204;28;Private Sector/Self Employed;Yes;1100000;4;1;No;No;0
205;32;Government Sector;Yes;900000;4;0;Yes;No;0
206;29;Private Sector/Self Employed;Yes;1150000;4;1;No;Yes;0
207;25;Private Sector/Self Employed;No;1150000;5;1;No;No;1
208;31;Government Sector;No;350000;3;0;No;No;0
209;29;Private Sector/Self Employed;Yes;1350000;4;0;No;Yes;1
210;25;Private Sector/Self Employed;No;1700000;3;1;Yes;No;0
211;28;Private Sector/Self Employed;Yes;1200000;5;1;Yes;No;0
212;27;Private Sector/Self Employed;No;450000;5;0;No;No;0
213;28;Private Sector/Self Employed;Yes;750000;5;1;No;No;0
214;26;Private Sector/Self Employed;Yes;1400000;5;0;Yes;Yes;1
215;27;Government Sector;Yes;850000;5;1;No;Yes;0
216;33;Government Sector;Yes;1100000;5;0;No;No;0
217;34;Private Sector/Self Employed;Yes;1050000;8;0;No;No;1
218;28;Private Sector/Self Employed;Yes;800000;6;0;No;No;0
219;26;Private Sector/Self Employed;Yes;1500000;7;0;Yes;Yes;0
220;31;Private Sector/Self Employed;Yes;1250000;9;1;No;No;0
221;35;Private Sector/Self Employed;No;800000;2;0;No;No;0
222;28;Private Sector/Self Employed;Yes;1200000;6;1;No;No;0
223;28;Private Sector/Self Employed;Yes;1200000;3;0;No;No;0
224;30;Private Sector/Self Employed;No;650000;3;0;No;No;0
225;31;Private Sector/Self Employed;Yes;1100000;5;0;Yes;No;0
226;31;Private Sector/Self Employed;Yes;1250000;2;0;No;No;0
